ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
283,Java 8 Features,Lambda Expressions,Which of these is NOT a valid lambda?,"() -> System.out.println(""Hi"")","(a, b) -> a + b",x -> return x * 2;,x -> x * x,(int x) -> { return x; },C,"The 'return' keyword requires a block body (using `{}`).

The expression `x -> return x * 2;` is invalid because it mixes expression syntax with a `return` statement.

It should be either `x -> x * 2` or `x -> { return x * 2; }`.",2025-06-22 00:03:12
284,Java 8 Features,Lambda Expressions,Which lambda expression correctly returns true if a string is empty?,s -> s.length() == 0,(s) -> return s == null;,"s => s.equals("")",(String s) => s.isEmpty(),() -> s.isEmpty(),A,"A valid lambda to test string emptiness is 's -> s.length() == 0' or 's -> s.isEmpty()'.

Option A uses correct syntax and logic.",2025-06-22 00:03:12
285,Java 8 Features,Lambda Expressions,Which statement about lambda expressions in Java is true?,They can have multiple abstract methods,They are valid only inside classes,They implement functional interfaces,They must always use return keyword,They are only used in interfaces,C,"Lambdas work with functional interfaces, which have exactly one abstract method.",2025-06-22 00:03:12
286,Java 8 Features,Lambda Expressions,Which of the following interfaces is NOT functional?,Runnable,Comparator,Function,Thread,Predicate,D,"`Thread` is a class, not a functional interface.

Others each have one abstract method.",2025-06-22 00:03:12
287,Java 8 Features,Lambda Expressions,Choose the correct syntax for a lambda with no parameters.,() -> return 10,-> 10,() -> 10,return () -> 10,{} -> 10,C,"No parameter lambdas must include `()`.

Correct form is `() -> 10`.",2025-06-22 00:03:12
288,Java 8 Features,Lambda Expressions,Which method must be implemented in a `Runnable` lambda?,void start(),void go(),void execute(),void run(),void accept(),D,"`Runnable` has one method: `void run()`.

Lambdas for `Runnable` must implement this.",2025-06-22 00:03:12
289,Java 8 Features,Lambda Expressions,"What does the following code print?

```java
Predicate<String> p = s -> s.isEmpty();
System.out.println(p.test(""""));

```",false,true,null,Compilation error,Runtime exception,B,"The empty string is passed to the predicate.

Since it is empty, `isEmpty()` returns true.",2025-06-22 00:03:12
290,Java 8 Features,Lambda Expressions,Which lambda expression has a syntax error?,"(a, b) -> a + b",x -> x * 2,(x) -> { return x + 1; },"a, b -> a + b","() -> System.out.println(""Hello"")",D,"You must use parentheses around parameters when there are two or more: '(a, b) -> a + b' is correct, 'a, b -> a + b' is not.",2025-06-22 00:03:12
291,Java 8 Features,Lambda Expressions,Which of the following is true about functional interfaces?,They must have more than one abstract method,They can have no abstract methods,They can have one abstract method only,They cannot have default methods,They must return void,C,"Functional interfaces must have exactly one abstract method.

They can have default or static methods too.",2025-06-22 00:03:12
292,Java 8 Features,Lambda Expressions,What is the return type of a lambda implementing `Supplier<String>`?,boolean,int,void,String,Object,D,"`Supplier<T>` provides a result of type `T`.

For `Supplier<String>`, return type is `String`.",2025-06-22 00:03:12
293,Java 8 Features,Lambda Expressions,Which functional interface is best used to return a value based on input?,Predicate,Consumer,Runnable,Function,Comparator,D,"`Function<T, R>` takes input and returns a result.

Perfect for transformation use cases.",2025-06-22 00:03:12
294,Java 8 Features,Lambda Expressions,Which of these best describes the role of a lambda in Java?,It replaces loops,It enables multithreading,It allows passing behavior as data,It returns multiple values,It creates annotations,C,"Lambdas allow behavior (code blocks) to be passed as data, typically to methods.",2025-06-22 00:03:12
295,Java 8 Features,Lambda Expressions,"What is the output?

```java
Function<Integer, Integer> square = x -> x * x;
System.out.println(square.apply(5));

```",25,10,5,Compilation error,Runtime exception,A,5 squared is 25. `Function.apply()` returns the transformed value.,2025-06-22 00:03:12
296,Java 8 Features,Lambda Expressions,"What is the output of the following code?

```java
Consumer<String> c = s -> System.out.println(s.toUpperCase());
c.accept(""lambda"");

```",lambda,LAMBDA,null,Compilation error,Runtime exception,B,The lambda converts the string to upper case: output is 'LAMBDA'.,2025-06-22 00:03:12
297,Working with Inheritance,Virtual vs Non-Virtual Methods,"What is the output of the following code?

```java
class Parent {
    static void greet() {
        System.out.println(""Hello from Parent"");
    }
}
class Child extends Parent {
    static void greet() {
        System.out.println(""Hello from Child"");
    }
}
public class Test {
    public static void main(String[] args) {
        Parent p = new Child();
        p.greet();
    }
}

```",Hello from Parent,Hello from Child,Compilation error,Runtime exception,None of the above,A,"This is method hiding, not overriding, because the methods are static.

The method call is resolved at compile time using the reference type (Parent), so 'Hello from Parent' is printed.",2025-06-23 18:10:36
298,Working with Inheritance,Virtual vs Non-Virtual Methods,Which statement about static methods and inheritance is correct?,Static methods are inherited and overridden,Static methods can be hidden but not overridden,Static methods behave polymorphically,Static methods are always private,Static methods are accessed through object references,B,"In Java, static methods are hidden (not overridden).

They are resolved at compile time using the reference type, not at runtime using the object type.",2025-06-23 18:10:39
299,Working with Inheritance,Virtual vs Non-Virtual Methods,"What happens when compiling and running the following code?

```java
class A {
    static void test() {
        System.out.println(""A"");
    }
}
class B extends A {
    void test() {
        System.out.println(""B"");
    }
}
public class Main {
    public static void main(String[] args) {
        B.test();
    }
}

```",Prints A,Prints B,Compilation error,Runtime exception,None of the above,C,"You cannot override a static method with a non-static method in Java.

This causes a compilation error because 'test()' in class B is not static.",2025-06-23 18:10:41
300,Working with Inheritance,Virtual vs Non-Virtual Methods,"Given the following classes:

```java
class Animal {
    static void speak() {
        System.out.println(""Animal sound"");
    }
}
class Dog extends Animal {
    static void speak() {
        System.out.println(""Bark"");
    }
}

```

Which output will result from this code?

```java
Animal a = new Dog();
a.speak();

```",Animal sound,Bark,Compilation error,Runtime exception,None of the above,A,"Static methods are hidden, not overridden.

So 'a.speak()' resolves to 'Animal.speak()' because the reference type is Animal.",2025-06-23 18:10:41
301,Working with Inheritance,Virtual vs Non-Virtual Methods,Which of the following best describes method hiding in Java?,Occurs when a subclass defines a static method with the same signature as a static method in its superclass,Occurs when a subclass defines an instance method with the same name as a static method in the superclass,Occurs when access modifiers change between overridden methods,Occurs when a method is overridden using final keyword,It is a form of runtime polymorphism,A,"Method hiding occurs when a static method in a subclass has the same signature as a static method in its superclass.

It is resolved at compile-time using reference type.",2025-06-23 18:10:41
302,Working with Methods and Encapsulation,Pass by Value vs Reference,"What is the result of running the following code?

```java
class Product {
    double price;
}

public class Test {
    public void updatePrice(Product product, double price) {
        price = price * 2;
        product.price = product.price + price;
    }

    public static void main(String[] args) {
        Product prt = new Product();
        prt.price = 200;
        double newPrice = 100;

        Test t = new Test();
        t.updatePrice(prt, newPrice);

        System.out.println(prt.price + "" : "" + newPrice);
    }
}

```",200.0 : 100.0,400.0 : 200.0,400.0 : 100.0,Compilation error,nothing,C,"The method doubles the value of 'price' parameter (local), but only 'product.price' is updated by adding this doubled value. 'newPrice' remains unchanged because primitives are passed by value.",2025-06-25 18:19:53
303,Working With Java Data Types,Variable Casting and Conversions,"What happens when compiling the following code?

```java
public class Test {
    public static void main(String[] args) {
        Short s1 = 200;
        Integer s2 = 400;
        Long s3 = (long) s1 + s2;   // line n1
        String s4 = (String) (s3 * s2); // line n2
        System.out.println(""Sum is "" + s4);
    }
}

```",Sum is 600,Compilation error at line n1,Compilation error at line n2,Runtime exception at line n1,Runtime exception at line n2,C,"The expression '(s3 * s2)' results in a primitive 'long' type, which cannot be cast to 'String'.

Java does not allow casting primitive numeric types to 'String' directly, leading to a compilation error at line n2.",2025-06-25 18:19:53
304,Using Loop Constructs,For Loops,"What happens when compiling the following code?
1. public class Whizlabs {
2.     public static void main(String[] args) {
3.         int sum = 0;
4.         for (int x = 0; x <= 10; x++)
5.             sum += x;
6.         System.out.print(""Sum for 0 to "" + x);
7.         System.out.println("" = "" + sum);
8.     }
9. }",Sum for 0 to 0 = 55,Sum for 0 to 10 = 55,Compilation fails due to an error in line 6,Compilation fails due to an error in line 7,Runtime Exception,C,"The variable 'x' is declared inside the for loop, so its scope is limited to the loop.

It is not accessible on line 6, which causes a compile-time error.",2025-06-25 19:26:31
305,Working with Selected Classes from Java API,Date Time API,"What is the output of the following code?

```java
import java.time.LocalDate;
import java.time.Period;

public class Whizlabs {
    public static void main(String[] args) {
        LocalDate date = LocalDate.of(2015, 3, 26);
        Period p = Period.ofDays(1);
        System.out.println(date.plus(p));
    }
}

```",2015-03-27,2015-04-27,2015-02-27,Compilation fails due to an error at line 6,Compilation fails due to an error at line 8,A,"The code adds a Period of 1 day to March 26, 2015.

Month numbering is 1-based, so '3' is March.

The result is 2015-03-27.",2025-06-25 19:26:31
306,Working With Java Data Types,Wrapper Classes,"What is the result of executing the following code?

```java
Integer number = Integer.valueOf(""808.1"");

```",The value of the variable number will be 808.1,The value of the variable number will be 808,The value of the variable number will be 0,A NumberFormatException will be thrown,Compilation error,D,"The string '808.1' is not a valid format for Integer.valueOf(), so it throws a `NumberFormatException` at runtime.",2025-06-25 19:26:31
307,Working with Inheritance,Method Overriding,"Which modifier can be used in the subclass method declaration below to make it valid?

```java
public class Exam {
    void method() {}
}

public class OCAJP extends Exam {
    _____ void method() {}
}

```",abstract,final,private,default,int,B,"Using 'final' is allowed here and simply prevents further overriding.

Using 'private' or more restrictive access is not allowed in overridden methods.",2025-06-25 19:26:31
308,Working With Java Data Types,Primitive Data Types,"Which of the following data types will allow the following code snippet to compile?

```java
float i = 4;
float j = 2;
_____ z = i + j;

```",long,double,int,float,byte,D,"The result of adding two float variables is a float.

Therefore, the variable 'z' must be of a type that can hold a float value, such as float or double.

Since float is an option and is the most precise type, it is the correct answer.",2025-06-25 19:26:31
309,Java Basics,Import Statements,"Given the following classes, which import statements can be added at line 1 to make the code compile?

```java
package zoo;
public class Zookeeper {}

package zoo.wildlife;
public class Animal {}

package visitor;
// Insert import here

public class Guest {
    public void watch(Animal animal) {}
}

```",import zoo.*;,import zoo.*.wildlife;,import zoo.wildlife.Animal.*;,import zoo.wildlife.Animal;,import zoo.wildlife.*;,D,"To make the code compile, the `Animal` class must be imported.

Option D, `import zoo.wildlife.Animal;`, correctly imports the class.

Option E, `import zoo.wildlife.*;`, would also work, but option D is a more precise import.

Option A only imports classes in the `zoo` package, not subpackages.

Option B has invalid syntax.

Option C is for static imports.",2025-06-25 19:26:31
310,Working With Java Data Types,Primitive Data Types,"What happens when compiling the following code?

```java
1. List<int> list = new ArrayList<>();
2. list.add(21);
3. list.add(13);
4. list.add(30);
5. list.add(11);
6. list.removeIf(o -> o % 2 == 0);
7. System.out.println(list);

```","[21, 13, 11]",[30],[],Compilation fails due to an error at line 1,Compilation fails due to an error at line 10,D,"""Java generics do not support primitive types.

Using 'List<int>' at line 1 causes a compile-time error.

It should be 'List<Integer>'.",2025-06-25 19:26:31
311,Working with Methods and Encapsulation,Method Declaration and Parameters,Assume you have a method which is declared to take four arguments. What will happen if a program calls this method with only two arguments?,"Code compiles successfully. However, in Runtime throws exception.",Compilation fails.,Both 3rd & 4th Argument is given a value zero.,Both 3rd & 4th Argument is given a value null.,None of the above,B,"Java requires the number of arguments in the method call to exactly match the method declaration.

Fewer arguments cause a compile-time error.",2025-06-25 19:26:31
312,Handling Exceptions,Try-Catch-Finally,"What happens when compiling the following code?

```java
1. public class Whizlabs {
2.     public static void main(String[] args) {
3.         try {
4.             Double number = Double.valueOf(""120D"");
5.         } catch (NumberFormatException ex) {
6.             System.out.println(ex);
7.         }
8.         System.out.println(number);
9.     }
10. }

```",120,120D,Run-time exception NumberFormatException is generated,Compilation fails due to an error at line 5,Compilation fails due to an error at line 8,E,"The variable 'number' is declared inside the try block, so its scope is limited to that block.

It is not accessible on line 8, which results in a compile-time error.",2025-06-25 19:26:34
313,Working with Selected Classes from Java API,Lambda Expressions,"Which of the following should be inserted at line 11 to get the output [3, 11]?

```java
List<Integer> list = new ArrayList<>();
list.add(2); list.add(3);
list.add(30); list.add(11);
list.add(2);
// Insert here
System.out.println(list);

```",list.removeIf(o -> o%2 == 0);,list.removeIf(o -> o%2 != 0);,list.remove(2);,list.remove(o -> o%2 == 0);,None of the above,A,"To get the output [3, 11], we need to remove all even numbers from the list.

Option A correctly removes all even numbers using the removeIf method with a lambda expression that checks if the number is even (o % 2 == 0).

Option C is incorrect because `list.remove(2)` would remove the element at index 2 (value 30), not all even numbers.",2025-06-25 19:26:34
314,Working with Selected classes from the Java API,StringBuilder Class,"What is the output of the following code?

```java
StringBuilder s1 = new StringBuilder(""Java"");
String s2 = ""Love"";

s1.append(s2);
s1.substring(4);
int foundAt = s1.indexOf(s2);

System.out.println(foundAt);

```",-1,3,4,StringIndexOutOfBoundsException,Compilation error,C,"The append() method adds ""Love"" to ""Java"", making it ""JavaLove"".

The substring(4) call returns ""Love"" but does not modify s1.

The indexOf(""Love"") finds it starting at index 4.",2025-06-26 11:10:38
315,Working with Methods and Encapsulation,Access Modifiers,Which access modifier makes a member available only to classes within the same package or subclasses?,private,protected,public,package-private,,B,"The protected access modifier allows access within the same package and to subclasses even in other packages.

The private modifier is only within the same class, and package-private doesn't permit subclass access from other packages.",2025-06-26 11:10:38
316,Using Operators and Decision Constructs,Switch Statement,"Which initialization for cardVal will cause the following code to print ""Stand""?\n\n
```java
\nswitch (cardVal) {\n    case 4: case 5: case 6:\n    case 7: case 8:\n        System.out.println(""Hit"");\n        break;\n    case 9: case 10: case 11:\n        System.out.println(""Double"");\n        break;\n    case 15: case 16:\n        System.out.println(""Surrender"");\n        break;\n    default:\n        System.out.println(""Stand"");\n}\n
```",int cardVal = 6;,int cardVal = 10;,int cardVal = 15;,int cardVal = 18;,,D,"The default case is executed for any value of cardVal that is not explicitly handled by one of the case statements.

The values 6, 10, and 15 are handled by specific cases.

Only 18 is not handled, causing ""Stand"" to be printed.",2025-06-26 11:10:38
317,Working with Inheritance,Abstract Classes,Which of the following statements about abstract classes in Java is true?,An abstract class can be instantiated directly,An abstract class must have at least one abstract method,An abstract class can extend another abstract class,An abstract class cannot have any concrete methods,Abstract classes must be final,C,"An abstract class can extend another abstract class.

It may contain abstract and concrete methods, and cannot be instantiated directly.",2025-06-26 18:09:06
318,Working with Inheritance,Abstract Classes,"What happens when compiling the following code?

```java
abstract class Machine {
    abstract void start();
    abstract void stop();
}

abstract class Printer extends Machine {
    void start() {
        System.out.println(""Printer starting"");
    }
}

```",Compilation error,Compiles successfully,Runtime error,Printer must be made final,Machine must not be abstract,B,"✅ Printer compiles successfully because it's still abstract

It implements only start() from Machine, and that’s allowed

Abstract classes don’t have to implement all inherited abstract methods

❌ If Printer were not abstract, it would need to also implement stop(), or else you'd get a compilation error",2025-06-26 18:09:06
319,Working with Inheritance,Abstract Classes,Which statement is correct about abstract classes and interfaces in Java?,Abstract classes can have constructors but interfaces cannot,Abstract classes and interfaces both support multiple inheritance,Interfaces can have private constructors,Abstract classes must have at least one abstract method,Both abstract classes and interfaces can have static methods,A,"Abstract classes can have constructors while interfaces cannot.

This is a key difference between abstract classes and interfaces in Java.",2025-06-26 18:09:06
320,Working with Inheritance,Abstract Classes,"What is the result of compiling and running this code?

```java
abstract class Engine {
    abstract void ignite();
}

class DieselEngine extends Engine {
    void ignite() {
        System.out.println(""Igniting diesel engine"");
    }
}

class Demo {
    public static void main(String[] args) {
        Engine e = new DieselEngine();
        e.ignite();
    }
}

```",Compilation error,Igniting diesel engine,Abstract class cannot be instantiated,No output,Runtime exception,B,"The DieselEngine class implements the abstract method from Engine.

It compiles and runs, printing the message.",2025-06-26 18:09:06
321,Working with Inheritance,Abstract Classes,Which statement is correct regarding abstract methods?,They can have a body,They must be static,They cannot be private,They must be final,They cannot throw exceptions,C,"Abstract methods cannot be private or final.

They must be implemented in a subclass and cannot have a body.",2025-06-26 18:09:06
322,Working with Inheritance,Abstract Classes,Which of the following statements is correct?,A class must be abstract to have abstract methods,A class can be abstract without having any abstract methods,A class can be both abstract and final,An abstract class cannot extend a concrete class,A class with no abstract methods must be concrete,B,A class can be declared abstract even if it doesn't contain any abstract methods.,2025-06-26 18:09:06
323,Working with Inheritance,Abstract Classes,"What is the output of this code?

```java
abstract class Writer {
    public abstract void write();
}

class Pen extends Writer {
    public void write() {
        System.out.println(""Writing with a pen"");
    }
}

public class Test {
    public static void main(String[] args) {
        Writer w = new Pen();
        w.write();
    }
}

```",Writing with a pen,Compilation error,Runtime error,No output,Abstract class cannot be instantiated,A,"The Pen class implements the abstract method `write()` from Writer.

The code compiles and runs, printing 'Writing with a pen'.",2025-06-26 18:09:06
324,Working with Inheritance,Abstract Classes,"What is the output of the following code?

```java
abstract class Shape {
    abstract void draw();
    void print() {
        System.out.println(""Printing shape"");
    }
}

class Circle extends Shape {
    void draw() {
        System.out.println(""Drawing circle"");
    }
}

public class Test {
    public static void main(String[] args) {
        Shape s = new Circle();
        s.print();
    }
}

```",Printing shape,Drawing circle,Drawing circle then Printing shape,Printing shape then Drawing circle,Compilation error,A,"The print() method is concrete and will execute.

Although draw() is implemented, it is never called.",2025-06-26 18:09:06
325,Working with Inheritance,Abstract Classes,"What will happen when compiling the following code?

```java
abstract class Animal {
    abstract void speak();
}

class Dog extends Animal { }

```",Compiles and runs successfully,Compilation error due to missing method implementation in Dog,Runs with a runtime exception,Dog must be declared abstract,Compilation error in abstract class definition,B,"Since Dog does not implement the abstract method `speak()`, it must either be declared abstract or implement the method.",2025-06-26 18:09:06
326,Working with Inheritance,Abstract Classes,Choose the correct statement about abstract classes.,Abstract classes cannot have constructors,You cannot have abstract methods without declaring the class abstract,Abstract classes cannot implement interfaces,An abstract class must be public,Abstract classes cannot extend other classes,B,"Abstract methods must reside inside an abstract class.

However, abstract classes can have constructors and can implement interfaces.",2025-06-26 18:09:06
